EventID,Division,FinalRank,PDGAPoints,Name,PDGANumber,Rating,FinalScore,RoundOneScore,RoundTwoScore,RoundThreeScore,RoundFourScore,TotalScore,Payout,City,State,Country
47516,FPO,16,144,Sarah Hokom,34563,966,,72,71,73,999,DNF,$310,,,
47516,MPO,14,1280,Colten Montgomery,35876,1019,-21,59,61,64,63,247,$990,,,
47516,MPO,55,870,J.C. Kester,36777,997,-2,63,64,64,75,266,$465,,,
47516,MPO,2,1400,Eagle Wynne McMahon,37817,1049,-36,55,56,59,62,232,"$3,000",,,
47516,MPO,2,1400,Richard Wysocki,38008,1055,-36,59,54,58,61,232,"$3,000",,,
47516,MPO,106,360,Scott Conway,38603,1008,7,65,72,73,,210,,,,
47516,MPO,85,570,Zach Melton,38631,1009,-1,68,69,65,,202,,,,
47516,MPO,6,1360,Benjamin Callaway,39015,1013,-30,56,55,63,64,238,"$1,700",,,
47516,MPO,66,760,Nate Metzler,41220,1010,-6,66,68,63,,197,,,,
47516,MPO,14,1280,Kevin Jones,41760,1034,-21,61,56,65,65,247,$990,,,
47516,MPO,43,990,Charles Behrhorst,42202,1003,-12,64,66,60,66,256,$523,,,
47516,MPO,37,1050,Jason Hebenheimer,43762,992,-13,67,59,65,64,255,$570,,,
47516,MPO,74,680,John Jones,43834,994,-4,60,71,68,,199,,,,
47516,FPO,2,228,Catrina Allen,44184,965,-9,65,64,66,70,265,"$1,900",,,
47516,MPO,22,1200,Anthony Barela,44382,1031,-18,59,59,59,73,250,$775,,,
47516,MPO,111,310,Billy Engel,44458,965,10,67,71,75,,213,,,,
47516,MPO,48,940,Jake Lauber,44782,1003,-11,63,65,64,65,257,$500,,,
47516,MPO,66,760,Isaac Heinen,44919,1001,-6,68,62,67,,197,,,,
47516,MPO,74,680,Justin Bilodeau,45478,996,-4,62,71,66,,199,,,,
47516,MPO,77,650,Brian Earhart,45879,1018,-3,70,67,63,,200,,,,
47516,MPO,4,1380,Calvin Heimburg,45971,1050,-35,55,56,59,63,233,"$2,000",,,
47516,MPO,131,110,Shawn Sullivan,46190,968,26,77,74,78,,229,,,,
47516,MPO,58,840,Emerson Keith,47472,1022,-8,65,62,68,,195,,,,
47516,MPO,74,680,Reid Frescura,48338,1010,-4,63,66,70,,199,,,,
47516,MPO,7,1350,Drew Gibson,48346,1038,-29,58,59,60,62,239,"$1,550",,,
47516,MPO,93,490,Stephen Schroeder,48652,1004,E,65,65,73,,203,,,,
47516,MPO,57,850,Matt Bell,48950,1023,,64,63,67,999,DNF,$440,,,
47516,FPO,12,168,Ohn Scoggins,48976,957,13,75,72,69,71,287,$410,,,
47516,MPO,118,240,Patrick McReynolds,49203,965,14,69,77,71,,217,,,,
47516,MPO,34,1080,Jordan Castro,49431,1018,-14,68,60,66,60,254,$610,,,
47516,MPO,62,800,Garry Patton,49643,1005,-7,65,64,67,,196,,,,
47516,MPO,115,270,Maximus Meyer,49865,985,12,73,73,69,,215,,,,
47516,MPO,62,800,G.T. Hancock,49885,1005,-7,65,63,68,,196,,,,
47516,MPO,9,1330,Zackeriath Johnson,50312,1013,-26,59,58,58,67,242,"$1,250",,,
47516,MPO,34,1080,Chris Clemons,50401,1028,-14,62,64,64,64,254,$610,,,
47516,MPO,115,270,Peter Bures,50464,984,12,70,73,72,,215,,,,
47516,FPO,39,0,Jessica Weese,50656,945,,999,,,,DNF,,,,
47516,MPO,13,1290,Ezra Robinson,50671,1022,-22,60,60,65,61,246,"$1,100",,,
47516,MPO,79,630,Randon Latta,51685,1012,-2,61,71,69,,201,,,,
47516,MPO,103,390,Collin Bailey,52115,1018,5,64,70,74,,208,,,,
47516,MPO,20,1220,Tim Barham,53332,1020,-19,62,60,62,65,249,$835,,,
47516,MPO,26,1160,Eric Oakley,53565,1020,-17,63,63,58,67,251,$720,,,
47516,MPO,110,320,Ben Llena,55402,973,9,69,69,74,,212,,,,
47516,FPO,36,24,Jennifer Wheeling,55571,878,52,93,88,78,,259,,,,
47516,MPO,137,0,Jonathan Propalis,55926,987,,69,74,999,,DNF,,,,
