,Name,PDGANumber,Division,EventTour,TopEight,TopSixteen,TopThirtyTwo,AverageFinish,SilverSeriesStops,EliteSeriesStops,PDPTStops,NTStopsBeforeMCO,First,Second,Third,Fourth,Fifth,Sixth,Seventh,Eigth,Ninth,Tenth,Eleventh,Twelfth,Thirteenth,Fourteenth,Fifteenth,Sixteenth,Seventeenth,Eighteenth,Nineteenth,20th,21st,22nd,23rd,24th,25th,26th,27th,28th,29th,30th,31st,32nd,33rd,34th,35th,36th
16,Jessica Weese,50656,FPO,NT,731,999,1000,7.376,0,0,0,4,0.0,0.0,1.0,39.0,219.0,207.0,156.0,109.0,85.0,52.0,47.0,32.0,30.0,12.0,6.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Casey White,81739,MPO,NT,433,949,1000,10.019,0,0,0,4,0.0,0.0,3.0,11.0,63.0,116.0,111.0,129.0,118.0,83.0,44.0,28.0,55.0,54.0,72.0,62.0,32.0,15.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Sarah Hokom,34563,FPO,NT,36,898,1000,12.922,0,0,0,3,0.0,0.0,0.0,0.0,0.0,2.0,11.0,23.0,53.0,95.0,118.0,146.0,187.0,134.0,78.0,51.0,27.0,25.0,30.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Ohn Scoggins,48976,FPO,NT,0,864,1000,15.658,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,62.0,347.0,450.0,128.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Gregg Barsby,15857,MPO,NT,0,961,1000,13.907,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,51.0,119.0,191.0,261.0,206.0,116.0,36.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Paige Pierce,29190,FPO,NT,999,1000,1000,4.092,0,0,0,3,0.0,0.0,83.0,796.0,83.0,28.0,6.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Jeremy Koling,33705,MPO,NT,0,0,1000,23.478,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,30.0,74.0,162.0,238.0,220.0,161.0,81.0,23.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Nathan Queen,68286,MPO,NT,0,3,656,31.271,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,17.0,26.0,31.0,47.0,47.0,66.0,52.0,51.0,36.0,41.0,55.0,47.0,37.0,49.0,44.0,53.0,31.0,21.0,14.0
24,Joel Freeman,69509,MPO,NT,0,342,914,20.704,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,35.0,34.0,51.0,43.0,71.0,51.0,48.0,45.0,50.0,35.0,54.0,51.0,54.0,42.0,39.0,37.0,21.0,36.0,29.0,9.0,12.0,12.0,46.0,40.0,31.0,9.0,2.0
25,Alden Harris,98091,MPO,NT,305,726,1000,11.988,0,0,0,4,0.0,0.0,1.0,4.0,26.0,64.0,87.0,123.0,103.0,87.0,71.0,43.0,23.0,12.0,17.0,65.0,81.0,91.0,59.0,33.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Heather Young,100965,FPO,NT,618,995,1000,8.327,0,0,0,3,0.0,0.0,0.0,8.0,109.0,159.0,183.0,159.0,102.0,74.0,69.0,57.0,36.0,12.0,14.0,13.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Stephanie Vincent,29947,FPO,NT,0,0,1000,22.526,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359.0,180.0,174.0,166.0,106.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Lisa Fajkus,32654,FPO,NT,0,233,1000,17.071,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,217.0,481.0,251.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Erika Stinchcomb,71262,FPO,NT,673,1000,1000,7.727,0,0,0,4,0.0,0.0,0.0,30.0,191.0,165.0,160.0,127.0,89.0,74.0,61.0,54.0,29.0,13.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Nikko Locastro,11534,MPO,NT,0,0,673,31.631,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,11.0,19.0,45.0,40.0,62.0,53.0,52.0,55.0,58.0,53.0,65.0,51.0,61.0,44.0,32.0,30.0,30.0,22.0
31,Emerson Keith,47472,MPO,NT,77,578,1000,16.25,0,0,0,4,0.0,0.0,0.0,0.0,2.0,1.0,20.0,54.0,64.0,92.0,85.0,86.0,54.0,51.0,31.0,38.0,32.0,36.0,42.0,32.0,25.0,18.0,22.0,30.0,43.0,49.0,48.0,23.0,16.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
