name,pdga_number,rating,current_rank,current_points,mean_final_points,mean_final_rank,p_top28_standings,p_top32,p_no1_seed
Fredy Meza,100497,1022.0,99,112.31,177.2,97.8,0.0,0.0,0.0
Björn Marrandi,180865,1014.0,100,109.66,128.4,110.7,0.0,0.0,0.0
Matthew Alexander,138103,1005.0,101,109.54,123.3,112.1,0.0,0.0,0.0
Hjalte Jensen,129061,1028.0,102,103.5,164.2,102.3,0.0,0.0,0.0
Jacob Courtis,56511,997.0,103,102.99,108.3,117.7,0.0,0.0,0.0
Colten Montgomery,35876,1005.0,104,102.5,139.6,106.4,0.0,0.0,0.0
Luukas Rokkanen,64917,1014.0,105,100.9,116.3,115.3,0.0,0.0,0.0
Teemu Talikainen,155087,1010.0,106,100.0,108.3,118.1,0.0,0.0,0.0
Hjalmar Fredriksson,116137,1016.0,107,99.0,134.7,109.4,0.0,0.0,0.0
Dennis Augustsson,98130,1017.0,108,97.16,133.9,109.9,0.0,0.0,0.0
Eli Swansen,128050,994.0,109,95.1,102.1,120.5,0.0,0.0,0.0
Lucas Oberholtzer Hess,90439,1019.0,110,93.0,186.4,95.2,0.0,0.0,0.0
Elias Gripler,79004,1013.0,111,92.3,92.6,124.5,0.0,0.0,0.0
Jacob Blair,52785,1004.0,112,92.26,106.4,118.8,0.0,0.0,0.0
Jeremy Koling,33705,1019.0,113,88.04,156.2,102.7,0.0,0.0,0.0
Kevin Jones,41760,1012.0,114,87.38,139.7,107.2,0.0,0.0,0.0
Evan Walker,190731,1027.0,115,86.8,167.1,103.4,0.0,0.0,0.0
Miles Sayer,91543,1013.0,116,82.77,118.8,114.9,0.0,0.0,0.0
Wyatt Mahoney,89460,1023.0,117,80.34,169.4,101.2,0.0,0.0,0.0
Lucas Carmichael,151146,1007.0,118,80.0,130.8,110.1,0.0,0.0,0.0
Drew Gibson,48346,1024.0,119,73.33,123.7,115.0,0.0,0.0,0.0
Gavin Bos,187956,1013.0,120,70.27,70.3,131.8,0.0,0.0,0.0
Morten Kristiansen,111626,992.0,121,69.96,70.0,133.0,0.0,0.0,0.0
Daniel Perry,132195,1022.0,122,69.67,69.7,134.0,0.0,0.0,0.0
Knut Valen Håland,35070,1001.0,123,63.5,63.5,137.7,0.0,0.0,0.0
Nathan Sexton,18824,1019.0,124,63.17,87.3,126.5,0.0,0.0,0.0
Ian Krajna,48125,1015.0,125,61.83,61.8,139.5,0.0,0.0,0.0
J.J. Campbell,170839,1008.0,126,56.93,63.8,138.7,0.0,0.0,0.0
Trevon Crowe,67172,998.0,127,56.66,72.9,132.3,0.0,0.0,0.0
Emmanuel Torres,68986,1025.0,128,54.89,104.4,123.7,0.0,0.0,0.0
Øyvind Jarnes,41884,1012.0,129,54.63,54.6,144.7,0.0,0.0,0.0
Nick Robertson,127048,1010.0,131,53.0,61.7,140.5,0.0,0.0,0.0
Aviel Gomez,127492,1025.0,132,52.0,100.3,125.6,0.0,0.0,0.0
Ville Kivisilla,118552,1013.0,133,52.0,52.0,147.3,0.0,0.0,0.0
Kyle Krieckhaus,154511,1021.0,134,50.44,102.3,123.0,0.0,0.0,0.0
Noah Feil,242013,1011.0,135,50.34,50.3,149.2,0.0,0.0,0.0
Joni Peltonen,94872,1016.0,136,49.25,49.2,150.7,0.0,0.0,0.0
Jamie Kiep,68815,1018.0,137,49.21,71.3,137.3,0.0,0.0,0.0
Ryan Mulder,111887,1010.0,138,48.5,48.5,152.3,0.0,0.0,0.0
Aapo Karhi,82562,1009.0,139,48.0,48.0,154.3,0.0,0.0,0.0
Nooa Hämäläinen,203340,1015.0,140,48.0,48.0,154.1,0.0,0.0,0.0
Cam Rico,28560,1010.0,141,47.22,56.0,147.1,0.0,0.0,0.0
Max Ringbom,91175,1002.0,142,47.1,47.1,156.4,0.0,0.0,0.0
Dustin Keegan,35187,1020.0,143,46.67,46.7,157.6,0.0,0.0,0.0
G.T. Hancock,49885,1024.0,144,46.33,88.7,131.6,0.0,0.0,0.0
Anthony Anselmo,56579,1043.0,145,44.67,44.7,160.0,0.0,0.0,0.0
Daniel Pfaff,98558,1013.0,146,44.67,44.7,160.4,0.0,0.0,0.0
Aidan Scott,99246,1025.0,147,44.17,130.1,114.8,0.0,0.0,0.0
Zane Letts,57544,1018.0,148,44.0,44.0,162.1,0.0,0.0,0.0
Hugo Fröjdlund,135258,1009.0,149,43.33,43.3,163.6,0.0,0.0,0.0
Samuel Hänninen,87964,998.0,150,43.22,43.2,164.6,0.0,0.0,0.0
Alexander Karanzas,204855,993.0,151,42.91,42.9,165.8,0.0,0.0,0.0
Henrik Haaland,174255,1013.0,152,42.5,42.5,167.0,0.0,0.0,0.0
Emerson Keith,47472,1026.0,153,42.33,93.7,132.0,0.0,0.0,0.0
Micah Groth,113179,1023.0,154,41.5,41.5,168.8,0.0,0.0,0.0
Morten Brenna,79859,1007.0,155,39.0,39.0,171.4,0.0,0.0,0.0
Brandon Brown,87673,1013.0,156,38.43,59.0,147.6,0.0,0.0,0.0
Zack Wysocki,61722,999.0,157,37.22,37.2,173.7,0.0,0.0,0.0
Severi Saviniemi,80974,1003.0,158,36.91,36.9,174.8,0.0,0.0,0.0
Nikko Locastro,11534,1011.0,159,36.66,63.2,144.7,0.0,0.0,0.0
Nicholas Gill,33838,1013.0,160,36.0,68.6,141.3,0.0,0.0,0.0
Jan-Mikael Lampela,118097,1002.0,161,35.5,35.5,176.9,0.0,0.0,0.0
Logan Plake,76846,1007.0,162,35.0,45.9,161.3,0.0,0.0,0.0
