,Name,PDGANumber,Division,EventTour,TopEight,TopSixteen,TopThirtyTwo,AverageFinish,SilverSeriesStops,EliteSeriesStops,PDPTStops,NTStopsBeforeMCO,First,Second,Third,Fourth,Fifth,Sixth,Seventh,Eigth,Ninth,Tenth,Eleventh,Twelfth,Thirteenth,Fourteenth,Fifteenth,Sixteenth,Seventeenth,Eighteenth,Nineteenth,20th,21st,22nd,23rd,24th,25th,26th,27th,28th,29th,30th,31st,32nd,33rd,34th,35th,36th
26,Heather Young,100965,FPO,NT,644,997,1000,8.195,0,0,0,3,0.0,0.0,0.0,5.0,118.0,173.0,196.0,152.0,94.0,69.0,57.0,50.0,40.0,27.0,11.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Stephanie Vincent,29947,FPO,NT,0,0,1000,22.635,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.0,177.0,161.0,216.0,102.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Lisa Fajkus,32654,FPO,NT,0,255,1000,17.012,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,230.0,484.0,229.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Erika Stinchcomb,71262,FPO,NT,666,1000,1000,7.712,0,0,0,4,0.0,0.0,1.0,26.0,194.0,176.0,148.0,121.0,97.0,73.0,62.0,54.0,33.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Nikko Locastro,11534,MPO,NT,0,0,641,32.095,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,12.0,20.0,44.0,41.0,52.0,54.0,53.0,51.0,45.0,56.0,53.0,55.0,44.0,47.0,36.0,34.0,28.0,30.0
31,Emerson Keith,47472,MPO,NT,76,577,1000,16.093,0,0,0,4,0.0,0.0,0.0,0.0,0.0,2.0,18.0,56.0,80.0,102.0,82.0,80.0,65.0,41.0,27.0,24.0,44.0,30.0,40.0,40.0,18.0,9.0,16.0,37.0,45.0,50.0,51.0,34.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Terry Rothlisberger,57493,MPO,NT,0,0,396,38.097,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,8.0,12.0,16.0,24.0,31.0,16.0,28.0,30.0,43.0,46.0,61.0,32.0,44.0,43.0,36.0,25.0,34.0
33,Austin Hoop,72423,MPO,NT,0,0,0,51.678,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Kat Mertsch,99455,FPO,NT,692,1000,1000,7.415,0,0,0,4,0.0,0.0,12.0,48.0,173.0,161.0,163.0,135.0,110.0,98.0,53.0,32.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Casey Pennington,74708,FPO,NT,0,0,0,43.227,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Sara Sinclair,41012,FPO,NT,0,0,1000,22.433,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.0,200.0,261.0,163.0,53.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Sami Keddington,52010,FPO,NT,0,0,0,46.912,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Maria Oliva,63257,FPO,NT,0,23,1000,18.099,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,201.0,475.0,256.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Chandler Fry,25541,MPO,NT,1,247,885,22.564,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,15.0,34.0,25.0,30.0,53.0,39.0,46.0,40.0,40.0,39.0,54.0,49.0,45.0,44.0,42.0,50.0,43.0,30.0,26.0,22.0,24.0,34.0,56.0,60.0,37.0,13.0,5.0
40,Colten Montgomery,35876,MPO,NT,151,648,1000,14.335,0,0,0,4,0.0,0.0,0.0,0.0,7.0,16.0,39.0,89.0,108.0,96.0,74.0,60.0,50.0,33.0,47.0,29.0,21.0,13.0,21.0,51.0,70.0,88.0,63.0,18.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Alex Russell,66362,MPO,NT,16,333,1000,20.473,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,35.0,37.0,51.0,59.0,48.0,31.0,35.0,21.0,32.0,35.0,27.0,54.0,53.0,34.0,21.0,21.0,23.0,51.0,86.0,99.0,81.0,37.0,9.0,4.0,0.0,0.0,0.0,0.0
42,Kyle Klein,85132,MPO,NT,0,0,1000,25.457,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,24.0,85.0,161.0,217.0,229.0,193.0,66.0,16.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
43,Ellen Widboom,58276,FPO,NT,329,981,1000,10.331,0,0,0,4,0.0,0.0,1.0,5.0,39.0,77.0,85.0,122.0,92.0,94.0,103.0,123.0,94.0,77.0,51.0,18.0,5.0,4.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Krissie Fountain,73693,FPO,NT,0,0,0,51.061,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Des Reading,15863,FPO,NT,0,0,0,52.617,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Brian Earhart,45879,MPO,NT,0,0,93,54.635,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,9.0,20.0,15.0,18.0,23.0,22.0,13.0,15.0,20.0
47,Matt Bell,48950,MPO,NT,19,400,999,19.378,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,28.0,59.0,60.0,64.0,56.0,48.0,24.0,42.0,29.0,35.0,32.0,60.0,63.0,47.0,38.0,24.0,10.0,15.0,44.0,54.0,64.0,54.0,21.0,9.0,1.0,0.0,0.0,0.0
48,Ezra Robinson,50671,MPO,NT,2,301,954,21.495,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,27.0,32.0,49.0,45.0,60.0,44.0,37.0,33.0,33.0,39.0,58.0,54.0,57.0,52.0,42.0,37.0,26.0,11.0,10.0,22.0,57.0,63.0,59.0,31.0,15.0,0.0,0.0
49,Adam Hammes,57365,MPO,NT,958,1000,1000,3.893,0,0,0,4,17.0,337.0,170.0,135.0,134.0,107.0,27.0,31.0,23.0,14.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Nate Perkins,65737,MPO,NT,0,0,109,53.274,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,6.0,15.0,14.0,24.0,16.0,27.0,22.0,13.0,23.0,12.0
51,Julie Eagle,78135,FPO,NT,0,0,1000,26.967,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,61.0,908.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Raven Newsom,88212,MPO,NT,0,83,685,27.36,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,9.0,6.0,13.0,24.0,24.0,26.0,26.0,37.0,44.0,50.0,55.0,38.0,36.0,36.0,33.0,50.0,51.0,50.0,40.0,24.0,6.0,8.0,12.0,46.0,82.0
53,Brodie Smith,128378,MPO,NT,0,0,0,43.374,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Deann Carey,66842,FPO,NT,23,581,1000,15.642,0,0,0,4,0.0,0.0,0.0,0.0,2.0,2.0,13.0,6.0,18.0,23.0,35.0,58.0,88.0,115.0,118.0,103.0,68.0,102.0,136.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Kona Star Panis,27832,FPO,NT,1000,1000,1000,2.379,0,0,0,4,0.0,714.0,208.0,64.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Stacie Rawnsley,122208,FPO,NT,1,298,1000,17.602,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,9.0,11.0,29.0,44.0,53.0,75.0,68.0,67.0,64.0,274.0,297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Shannon Prendergast,65961,FPO,NT,0,0,1000,22.078,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0,461.0,254.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Hannah McBeth,66939,FPO,NT,0,0,841,31.751,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418.0,423.0,149.0,10.0,0.0,0.0
59,Jenny Umstead,42066,FPO,NT,0,0,0,63.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Miles Seaborn,29264,MPO,NT,0,0,0,39.552,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,19.0
61,Bradley Williams,31644,MPO,NT,0,0,236,46.488,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,17.0,26.0,37.0,57.0,49.0,40.0,43.0,53.0,37.0,30.0
62,Zach Melton,38631,MPO,NT,0,0,74,57.3,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,4.0,7.0,11.0,23.0,21.0,18.0,19.0,25.0,21.0
63,Chris Clemons,50401,MPO,NT,46,567,1000,16.881,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,10.0,36.0,66.0,83.0,79.0,79.0,88.0,49.0,41.0,36.0,27.0,24.0,37.0,38.0,47.0,44.0,14.0,12.0,7.0,20.0,28.0,67.0,32.0,29.0,7.0,0.0,0.0,0.0,0.0,0.0
64,Esther Schultz,79049,FPO,NT,0,0,0,64.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Rochelle Browning,101496,FPO,NT,0,0,0,67.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Katelyn Belty,106422,FPO,NT,0,0,0,40.32,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Chelsea Harden,63377,FPO,NT,0,0,0,41.612,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Anna Pinter,106489,FPO,NT,0,0,0,45.56,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,Chris Harris,37146,MPO,NT,0,0,0,76.493,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,Luke Humphries,69424,MPO,NT,0,0,0,76.493,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,Elijah Bickel,94844,MPO,NT,0,0,0,76.493,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
